sala,Localização,Latitude,Longitude,nome da rede,banda,largura,canal,wifi mode,mimo,sinal,Velocidade de downlink,velocidade de uplink,latência,jitter,Room,Position,Is_Corredor
A,"dentro A23-s, p2",,,eduroam,2.4 GHz,20 MHz,11.0,802.11n (Wi-Fi 4),4x4,-48 dBm,0 Mbps,2 Mbps,97 ms,38 ms,A23,p2,FALSE
A,"dentro A23-s, p2",,,eduroam,5 GHz,40 MHz,64.0,802.11ac (Wi-Fi 5),4x4,-66 dBm,180 Mbps,81 Mbps,22 ms,0 ms,A23,p2,FALSE
A,"dentro A23-s, p1",,,eduroam,2.4 GHz,20 MHz,11.0,802.11n (Wi-Fi 4),4x4,-56 dBm,0 Mbps,0 Mbps,411 ms,374 ms,A23,p1,FALSE
A,"dentro A23-s, p1",,,eduroam,5 GHz,40 MHz,104.0,802.11ac (Wi-Fi 5),4x4,-62 dBm,162 Mbps,45 Mbps,22 ms,0 ms,A23,p1,FALSE
A,"dentro A23-s, p3",,,eduroam,2.4 GHz,20 MHz,11.0,802.11n (Wi-Fi 4),4x4,-52 dBm,0.1,0.1,411 ms,374 ms,A23,p3,FALSE
A,"dentro A23-s, p3",,,eduroam,5 GHz,40 MHz,104.0,802.11ac (Wi-Fi 5),4x4,-55 dBm,65.3,79.3,24 ms,1 ms,A23,p3,FALSE
A,"dentro A23-s, p5",,,eduroam,5 GHz,40 MHz,104.0,802.11ac (Wi-Fi 5),4x4,-71 dBm,67.1,58.1,26 ms,0 ms,A23,p5,FALSE
A,"dentro A23-s, p4",,,eduroam,5 GHz,40 MHz,104.0,802.11ac (Wi-Fi 5),4x4,-62 dBm,162 Mbps,31 Mbps,24 ms,0 ms,A23,p4,FALSE
K,"dentro K02-S, p2",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-47 dBm,10 Mbps,20 Mbps,92 ms,20 ms,K02,p2,FALSE
K,"dentro K02-S, p5",,,eduroam,2.4 GHz,20 MHz,1.0,802.11n (Wi-Fi 4),3x3,-47 dBm,15 Mbps,24 Mbps,45 ms,10 ms,K02,p5,FALSE
